mes_ano,dezenas_combinadas,count_combinacao_MMYY
01/2025,1-10|21-30|31-40|31-40|31-40|41-50,1
01/2025,1-10|21-30|31-40|31-40|51-60|51-60,1
01/2025,11-20|11-20|11-20|21-30|41-50|51-60,1
01/2025,11-20|11-20|21-30|31-40|31-40|41-50,1
01/2025,11-20|11-20|31-40|41-50|41-50|41-50,1
01/2025,11-20|21-30|21-30|31-40|41-50|41-50,1
01/2025,21-30|21-30|41-50|41-50|51-60|51-60,1
01/2025,21-30|31-40|41-50|41-50|51-60|51-60,1
01/2026,1-10|1-10|1-10|41-50|41-50|51-60,1
01/2026,1-10|1-10|11-20|11-20|21-30|51-60,1
01/2026,1-10|1-10|11-20|31-40|41-50|41-50,1
01/2026,1-10|1-10|31-40|41-50|51-60|51-60,1
01/2026,1-10|11-20|11-20|11-20|41-50|41-50,1
01/2026,1-10|11-20|21-30|21-30|31-40|51-60,1
01/2026,1-10|11-20|21-30|21-30|41-50|41-50,1
01/2026,1-10|11-20|21-30|31-40|31-40|51-60,1
01/2026,1-10|11-20|31-40|41-50|51-60|51-60,1
01/2026,1-10|11-20|51-60|51-60|51-60|51-60,1
01/2026,1-10|21-30|31-40|31-40|51-60|51-60,1
01/2026,11-20|21-30|31-40|31-40|41-50|51-60,1
01/2026,11-20|21-30|31-40|41-50|41-50|41-50,1
02/1997,1-10|1-10|21-30|31-40|41-50|41-50,1
02/1997,1-10|11-20|21-30|41-50|51-60|51-60,1
02/1997,1-10|11-20|31-40|31-40|41-50|51-60,1
02/1997,11-20|21-30|21-30|21-30|41-50|41-50,1
02/1998,1-10|1-10|1-10|41-50|51-60|51-60,1
02/1998,1-10|11-20|21-30|31-40|31-40|31-40,1
02/1998,11-20|11-20|31-40|41-50|41-50|51-60,1
02/1998,11-20|21-30|21-30|41-50|41-50|51-60,1
02/1999,1-10|1-10|21-30|31-40|41-50|41-50,1
02/1999,1-10|21-30|31-40|41-50|41-50|41-50,1
02/1999,11-20|21-30|31-40|31-40|41-50|41-50,1
02/1999,11-20|21-30|41-50|41-50|51-60|51-60,1
02/2000,1-10|1-10|11-20|21-30|51-60|51-60,1
02/2000,11-20|11-20|21-30|31-40|51-60|51-60,1
02/2000,11-20|21-30|21-30|21-30|41-50|51-60,1
02/2000,21-30|31-40|31-40|41-50|41-50|51-60,1
02/2001,1-10|1-10|1-10|11-20|21-30|31-40,1
02/2001,1-10|1-10|31-40|41-50|51-60|51-60,1
02/2001,1-10|11-20|41-50|51-60|51-60|51-60,1
02/2001,11-20|11-20|11-20|31-40|41-50|51-60,1
02/2002,1-10|1-10|1-10|31-40|41-50|41-50,1
02/2002,1-10|1-10|11-20|31-40|41-50|51-60,1
02/2002,1-10|11-20|11-20|11-20|21-30|41-50,1
02/2002,1-10|11-20|11-20|31-40|51-60|51-60,1
02/2002,1-10|11-20|21-30|21-30|21-30|51-60,1
02/2002,1-10|21-30|31-40|41-50|51-60|51-60,1
02/2002,11-20|21-30|21-30|21-30|41-50|51-60,1
02/2003,1-10|1-10|1-10|21-30|41-50|51-60,1
02/2003,1-10|1-10|11-20|11-20|31-40|41-50,1
02/2003,1-10|1-10|11-20|21-30|21-30|51-60,1
02/2003,1-10|1-10|11-20|21-30|51-60|51-60,1
02/2003,1-10|1-10|21-30|21-30|41-50|41-50,1
02/2003,1-10|1-10|21-30|41-50|51-60|51-60,1
02/2003,1-10|11-20|11-20|31-40|31-40|41-50,1
02/2003,11-20|11-20|21-30|41-50|41-50|51-60,1
02/2004,1-10|1-10|11-20|31-40|31-40|31-40,1
02/2004,1-10|11-20|11-20|41-50|41-50|51-60,1
02/2004,1-10|11-20|21-30|41-50|41-50|51-60,1
02/2004,1-10|21-30|21-30|21-30|41-50|41-50,1
02/2004,1-10|21-30|41-50|41-50|51-60|51-60,1
02/2004,11-20|11-20|21-30|21-30|21-30|31-40,1
02/2004,11-20|21-30|41-50|51-60|51-60|51-60,1
02/2005,1-10|1-10|11-20|11-20|31-40|31-40,1
02/2005,1-10|11-20|31-40|41-50|41-50|41-50,1
02/2005,11-20|11-20|41-50|41-50|51-60|51-60,2
02/2005,11-20|31-40|31-40|41-50|51-60|51-60,2
02/2005,21-30|21-30|21-30|31-40|31-40|41-50,1
02/2006,1-10|1-10|31-40|41-50|41-50|51-60,1
02/2006,1-10|11-20|31-40|31-40|41-50|51-60,1
02/2006,1-10|21-30|31-40|41-50|41-50|51-60,1
02/2006,11-20|11-20|21-30|21-30|41-50|41-50,1
02/2006,11-20|11-20|21-30|21-30|41-50|51-60,1
02/2006,11-20|11-20|21-30|31-40|31-40|31-40,1
